tanggal,tipe,setlist,ref_code
2024-03-02,SHOW,Ingin Bertemu,OSH2-2674
2024-03-16,EVENT,JKT48 School,OEV-440
2024-03-28,EVENT,JKT48 SCHOOL,OEV-445
2024-04-06,EVENT,JKT48 SCHOOL,OEV-452
2024-05-01,SHOW,Ingin Bertemu,OSH2-2682
2024-05-18,SHOW,Ingin Bertemu,OSH2-2691
2024-05-26,SHOW,Ingin Bertemu,OSH2-2696
2024-06-08,SHOW,Pajama Drive,OSH2-2712
2024-06-16,SHOW,Pajama Drive,OSH2-2735
2024-06-23,SHOW,Pajama Drive,OSH2-2740
2024-06-28,SHOW,Ingin Bertemu,OSH2-2743
2024-07-04,SHOW,Ingin Bertemu,OSH2-2753
2024-07-06,SHOW,Pajama Drive,OSH2-2755
2024-07-14,SHOW,Pajama Drive,OSH2-2767
2024-07-21,SHOW,Ingin Bertemu,OSH2-2775
2024-07-25,SHOW,Pajama Drive,OSH2-2776
2024-07-28,SHOW,Ingin Bertemu,OSH2-2779
2024-08-04,SHOW,Ingin Bertemu,OSH2-2783
2024-08-08,SHOW,Ingin Bertemu,OSH2-2784
2024-08-09,SHOW,Pajama Drive,OSH2-2785
2024-08-11,SHOW,Ingin Bertemu,OSH2-2787
2024-08-18,SHOW,Pajama Drive,OSH1-2792
2024-08-29,SHOW,Ingin Bertemu,OSH2-2797
2024-08-31,SHOW,Pajama Drive,OSH2-2799
2024-09-14,SHOW,Ingin Bertemu,OSH2-2806
2024-09-22,SHOW,Pajama Drive,OSH1-2810
2024-09-30,EVENT,OFC Event - SUDDEN VERSUS #2 - The Wild Hunt,OEV-470
2024-10-03,SHOW,Ingin Bertemu,OSH2-2818
2024-10-06,SHOW,Pajama Drive,OSH2-2820
2024-10-09,SHOW,Ingin Bertemu,OSH2-2829
2024-10-09,SHOW,Ingin Bertemu,OSH2-2821
2024-10-13,SHOW,Pajama Drive,OSH2-2827
2024-10-17,SHOW,Pajama Drive,OSH2-2830
2024-10-26,SHOW,Aturan Anti Cinta,OSH2-2836
2024-10-27,SHOW,Ingin Bertemu,OSH2-2837
2024-11-09,SHOW,Ingin Bertemu,OSH2-2843
2024-11-22,SHOW,Pajama Drive,OSH2-2849
2024-12-05,SHOW,Ingin Bertemu,OSH2-2859
2024-12-20,SHOW,Pajama Drive,OSH2-2861
2024-12-22,SHOW,Ingin Bertemu,OSH2-2866
2025-01-12,SHOW,Ingin Bertemu,OSH2-2874
2025-01-25,SHOW,Pajama Drive,OSH1-2883
2025-02-15,SHOW,Ingin Bertemu,OSH1-2894
2025-02-23,SHOW,Pajama Drive,OSH2-2901
2025-03-06,EVENT,HOST SWEET HOST,OEV-480
2025-03-14,EVENT,THE BATTLE: DANCING QUEEN,OEV-485
2025-04-13,SHOW,Pajama Drive,OSH2-2909
2025-04-16,SHOW,Pajama Drive,OSH2-2910
2025-04-19,SHOW,Ingin Bertemu,OSH1-2912
2025-04-26,SHOW,Ingin Bertemu,OSH1-2916
2025-05-04,SHOW,Pajama Drive,OSH1-2922
2025-05-11,SHOW,Aturan Anti Cinta,OSH2-2928
2025-05-23,SHOW,Pajama Drive,OSH2-2936
2025-05-25,SHOW,Ingin Bertemu,OSH1-2939
2025-05-29,SHOW,Pajama Drive,OSH2-2942
2025-06-07,SHOW,Ingin Bertemu,OSH2-2948
2025-06-12,SHOW,Ingin Bertemu,OSH2-2950
2025-06-21,SHOW,Pajama Drive,OSH1-2956
2025-07-02,SHOW,Pajama Drive,OSH2-2962
2025-08-02,SHOW,Pajama Drive,OSH2-2970
2025-08-08,SHOW,Pajama Drive,OSH2-2973
2025-08-09,SHOW,Ingin Bertemu,OSH2-2974
2025-08-26,EVENT,"OFC Event - SUDDEN VERSUS #3 - Good Luck, Have Fun! Sesi 2",OEV-505
2025-08-30,SHOW,Ingin Bertemu,OSH1-2984
2025-09-13,SHOW,Ingin Bertemu,OSH1-2991
2025-09-18,SHOW,Pajama Drive,OSH2-2993
2025-09-26,SHOW,Ingin Bertemu,OSH2-2999
2025-10-11,SHOW,Pajama Drive,OSH1-3005
2025-10-16,SHOW,Pajama Drive,OSH2-3009
2025-10-18,SHOW,Ingin Bertemu,OSH2-3010
2025-11-01,SHOW,Ingin Bertemu,OSH1-3018
2025-11-08,SHOW,Pajama Drive,OSH1-3023
2025-11-23,SHOW,Ingin Bertemu,OSH2-3033
2025-12-06,SHOW,Ingin Bertemu,OSH2-3041
2025-12-11,SHOW,KIRA KIRA GIRLS,OSH2-3044
2025-12-28,SHOW,KIRA KIRA GIRLS,OSH1-3051
2026-01-16,SHOW,Sambil Menggandeng Erat Tanganku,OSH2-3058
2026-01-17,SHOW,Cara Meminum Ramune,OSH2-3059
2026-01-25,SHOW,Sambil Menggandeng Erat Tanganku,OSH1-3065
2026-01-29,SHOW,Cara Meminum Ramune,OSH2-3067
2026-02-01,SHOW,Cara Meminum Ramune,OSH2-3070
2026-02-06,SHOW,Cara Meminum Ramune,OSH2-3072
2026-02-12,SHOW,Sambil Menggandeng Erat Tanganku,OSH2-3075
2026-02-28,EVENT,JKT48 FIGHT: LOVE DREAM PASSION,OEV-516
2026-03-07,EVENT,JKT48 OFC Event “JKT48 Psychology Project: Team Dream,OEV-518
2026-03-14,EVENT,SELEKSI PMDK 2026,OEV-526
